NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
CHELSEA                  ,2.00,81,2,995000,2872500,2872500,4750000
CHELSEA                  ,3.00,64,1,3800000,3800000,3800000,3800000
EAST VILLAGE             ,1.00,22,1,7926432,7926432,7926432,7926432
EAST VILLAGE             ,2.00,39,2,3085000,3892500,3892500,4700000
EAST VILLAGE             ,3.00,18,1,2400000,2400000,2400000,2400000
GRAMERCY                 ,3.00,13,1,3450000,3450000,3450000,3450000
GREENWICH VILLAGE-CENTRAL,1.00,72,3,2100000,9798000,12219000,15075000
GREENWICH VILLAGE-CENTRAL,2.00,55,4,2350000,6662500,4450000,15400000
GREENWICH VILLAGE-WEST   ,1.00,253,4,1764000,6034750,4712500,12950000
GREENWICH VILLAGE-WEST   ,2.00,281,10,3325000,5371486,5337430,8250000
GREENWICH VILLAGE-WEST   ,3.00,130,3,449249,4466416,5700000,7250000
HARLEM-CENTRAL           ,1.00,201,7,408771,954566,955950,1499000
HARLEM-CENTRAL           ,2.00,464,11,320000,1129825,1098300,1850000
HARLEM-CENTRAL           ,3.00,563,13,487424,1110204,938948,2575000
HARLEM-EAST              ,2.00,59,2,788376,799622,799622,810867
HARLEM-UPPER             ,1.00,80,1,850000,850000,850000,850000
HARLEM-UPPER             ,2.00,187,1,1200000,1200000,1200000,1200000
HARLEM-UPPER             ,3.00,105,4,739000,1113500,1007500,1700000
HARLEM-WEST              ,2.00,9,2,766036,767385,767385,768734
INWOOD                   ,2.00,81,2,563831,594666,594666,625500
LITTLE ITALY             ,1.00,10,1,3335000,3335000,3335000,3335000
LITTLE ITALY             ,3.00,4,1,19500000,19500000,19500000,19500000
MANHATTAN VALLEY         ,1.00,16,1,3050000,3050000,3050000,3050000
MANHATTAN VALLEY         ,3.00,11,1,990000,990000,990000,990000
MIDTOWN EAST             ,1.00,80,2,3500000,7050000,7050000,10600000
MIDTOWN EAST             ,2.00,45,2,1157446,2328723,2328723,3500000
MURRAY HILL              ,2.00,50,1,7282040,7282040,7282040,7282040
SOHO                     ,1.00,23,1,5500000,5500000,5500000,5500000
UPPER EAST SIDE (59-79)  ,1.00,475,16,2050000,8963125,7600000,24925000
UPPER EAST SIDE (59-79)  ,2.00,184,4,2750000,6325000,5525000,11500000
UPPER EAST SIDE (59-79)  ,3.00,30,2,5700000,7725000,7725000,9750000
UPPER EAST SIDE (79-96)  ,1.00,335,12,1750000,8402707,5957500,25000000
UPPER EAST SIDE (79-96)  ,2.00,143,1,14300000,14300000,14300000,14300000
UPPER EAST SIDE (79-96)  ,3.00,48,2,2750000,2750000,2750000,2750000
UPPER WEST SIDE (59-79)  ,1.00,64,2,4550000,9775000,9775000,15000000
UPPER WEST SIDE (59-79)  ,3.00,28,2,4000000,4650000,4650000,5300000
UPPER WEST SIDE (79-96)  ,1.00,112,3,4000000,5078667,5020000,6216000
UPPER WEST SIDE (79-96)  ,2.00,114,2,4700000,5925000,5925000,7150000
WASHINGTON HEIGHTS LOWER ,1.00,36,1,703951,703951,703951,703951
WASHINGTON HEIGHTS LOWER ,2.00,89,1,390000,390000,390000,390000
WASHINGTON HEIGHTS LOWER ,3.00,48,2,530000,804662,804662,1079323
